run,total_import,total_charge,total_discharge,avg_soc
69,116633.4282,0.0,76.0,20.9122807
70,122042.48319999997,0.0,76.0,20.9122807
71,93507.63489999999,0.0,76.0,20.9122807
72,108446.19170000001,0.0,76.0,20.9122807
73,108850.73629999999,0.0,76.0,20.9122807
74,122091.10109999999,0.0,76.0,20.9122807
75,117246.442,0.0,76.0,20.9122807
76,101241.83679999999,0.0,76.0,20.9122807
77,104317.16319999998,0.0,76.0,20.9122807
78,109809.28290000002,0.0,76.0,20.9122807
79,114997.32650000001,0.0,76.0,20.9122807
80,108642.70010000002,0.0,76.0,20.9122807
81,136238.914,0.0,76.0,20.9122807
82,125332.53509999998,0.0,76.0,20.9122807
83,119787.02319999998,0.0,76.0,20.9122807
84,112349.6099,0.0,76.0,20.9122807
85,105577.61480000001,0.0,76.0,20.9122807
86,115586.66010000001,0.0,76.0,20.9122807
87,101465.40590000003,0.0,76.0,20.9122807
88,126574.96620000002,0.0,76.0,20.9122807
89,111069.53989999999,0.0,76.0,20.9122807
90,123887.44689999998,0.0,76.0,20.9122807
91,104454.3309,0.0,76.0,20.9122807
92,109694.3835,0.0,76.0,20.9122807
93,121176.2497,0.0,76.0,20.9122807
94,93372.06970000001,0.0,76.0,20.9122807
95,129519.4779,0.0,76.0,20.9122807
96,102943.2069,0.0,76.0,20.9122807
97,108235.68320000001,0.0,76.0,20.9122807
98,121110.66730000002,0.0,76.0,20.9122807
99,114283.9275,0.0,76.0,20.9122807
100,109528.61909999998,0.0,76.0,20.9122807
101,111134.8587,0.0,76.0,20.9122807
102,95788.44780000001,0.0,76.0,20.9122807
103,112149.3784,0.0,76.0,20.9122807
104,107473.22939999998,0.0,76.0,20.9122807
105,128102.9511,0.0,76.0,20.9122807
106,116181.6267,0.0,76.0,20.9122807
107,105695.6116,0.0,76.0,20.9122807
108,111632.92869999999,0.0,76.0,20.9122807
109,115604.6137,0.0,76.0,20.9122807
110,110361.1089,0.0,76.0,20.9122807
111,120425.91189999998,0.0,76.0,20.9122807
112,113187.4578,0.0,76.0,20.9122807
113,126321.1684,0.0,76.0,20.9122807
114,107460.72840000002,0.0,76.0,20.9122807
115,103609.45630000002,0.0,76.0,20.9122807
116,110331.97159999999,0.0,76.0,20.9122807
117,110360.8786,0.0,76.0,20.9122807
118,95499.884,0.0,76.0,20.9122807
119,106822.59680000001,0.0,76.0,20.9122807
120,106299.7418,0.0,76.0,20.9122807
121,105358.2095,0.0,76.0,20.9122807
122,138547.74829999998,0.0,76.0,20.9122807
123,94832.4905,0.0,76.0,20.9122807
124,144777.0209,0.0,76.0,20.9122807
125,108605.9442,0.0,76.0,20.9122807
126,133551.498,0.0,76.0,20.9122807
127,107531.44419999998,0.0,76.0,20.9122807
128,119191.10200000001,0.0,76.0,20.9122807
129,119139.67730000001,0.0,76.0,20.9122807
130,112749.28329999998,0.0,76.0,20.9122807
131,118299.9867,0.0,76.0,20.9122807
132,112653.04690000003,0.0,76.0,20.9122807
133,113146.60130000001,0.0,76.0,20.9122807
134,113987.0836,0.0,76.0,20.9122807
